pretest_value,exam_value,count,combo_id
6,exam1 6,723,1
12,exam1 6,337,2
no_pretest,exam1 6,467,3
6,exam1 12,1444,4
12,exam1 12,497,5
no_pretest,exam1 12,757,6
6,exam1 no_exam,38812,7
12,exam1 no_exam,13137,8
no_pretest,exam1 no_exam,23145,9
6,exam2 6,1669,10
12,exam2 6,552,11
no_pretest,exam2 6,749,12
6,exam2 12,425,13
12,exam2 12,161,14
no_pretest,exam2 12,190,15
6,exam2 no_exam,38885,16
12,exam2 no_exam,13258,17
no_pretest,exam2 no_exam,23430,18
6,exam3 6,1155,19
12,exam3 6,254,20
no_pretest,exam3 6,355,21
6,exam3 12,663,22
12,exam3 12,225,23
no_pretest,exam3 12,420,24
6,exam3 no_exam,39161,25
12,exam3 no_exam,13492,26
no_pretest,exam3 no_exam,23594,27
6,exam4 6,991,28
12,exam4 6,262,29
no_pretest,exam4 6,549,30
6,exam4 12,293,31
12,exam4 12,97,32
no_pretest,exam4 12,7,33
6,exam4 no_exam,39695,34
12,exam4 no_exam,13612,35
no_pretest,exam4 no_exam,23813,36
